"Hospital.Name","Provider.ID","ED_1b","ED_2b","EDV","IMM_2","IMM_3_OP_27_FAC_ADHPCT","OP_1","OP_18b","OP_2","OP_20","OP_21","OP_22","OP_23","OP_29","OP_30","OP_31","OP_33","OP_3b","OP_4","OP_5","PC_01","VTE_6"
"PROMEDICA MONROE REGIONAL HOSPITAL",230099,"282","141","High (40,000 - 59,999 patients annually)","94","74","Not Available","128","Not Available","15","45","0","77","97","98","Not Available","94","Not Available","97","6","3","0"
"PROSSER MEMORIAL HOSPITAL",501312,"Not Available","Not Available","Not Available","81","95","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"PROVIDENCE - PROVIDENCE PARK HOSPITAL",230019,"349","135","Very High (60,000+ patients annually)","89","89","Not Available","166","Not Available","23","60","1","Not Available","91","93","Not Available","Not Available","Not Available","89","6","2","0"
"PROVIDENCE ALASKA MEDICAL CENTER",20001,"414","320","Very High (60,000+ patients annually)","91","72","Not Available","158","Not Available","32","48","1","Not Available","97","75","Not Available","Not Available","Not Available","Not Available","Not Available","4","0"
"PROVIDENCE CENTRALIA HOSPITAL",500019,"293","98","Medium (20,000 - 39,999 patients annually)","91","86","Not Available","163","Not Available","26","56","3","95","33","66","Not Available","80","49","92","10","3","Not Available"
"PROVIDENCE HEALTH",420026,"307","152","Very High (60,000+ patients annually)","95","49","Not Available","152","Not Available","32","65","1","62","100","99","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","7"
"PROVIDENCE HEALTH CENTER",450042,"304","144","Very High (60,000+ patients annually)","86","93","Not Available","215","Not Available","27","57","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0","7"
"PROVIDENCE HOLY CROSS MEDICAL CENTER",50278,"298","123","Very High (60,000+ patients annually)","99","83","Not Available","126","Not Available","30","44","1","89","83","84","Not Available","Not Available","Not Available","100","4","4","0"
"PROVIDENCE HOLY FAMILY HOSPITAL",500077,"337","135","Very High (60,000+ patients annually)","90","85","Not Available","176","Not Available","29","62","4","Not Available","100","62","Not Available","Not Available","47","97","14","5","Not Available"
"PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL",381318,"257","94","Low (0 - 19,999 patients annually)","86","72","Not Available","135","Not Available","13","46","1","Not Available","97","100","Not Available","Not Available","Not Available","98","11","0","Not Available"
"PROVIDENCE HOSPITAL",10090,"315","122","High (40,000 - 59,999 patients annually)","96","84","Not Available","185","Not Available","24","91","2","71","95","100","Not Available","Not Available","Not Available","Not Available","Not Available","0","0"
"PROVIDENCE HOSPITAL",90006,"710","485","High (40,000 - 59,999 patients annually)","44","91","Not Available","210","Not Available","33","106","4","Not Available","7","Not Available","Not Available","Not Available","Not Available","Not Available","45","1","7"
"PROVIDENCE HOSPITAL OF NORTH HOUSTON LLC",670119,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"PROVIDENCE KODIAK ISLAND MEDICAL CTR",21306,"Not Available","Not Available","Not Available","Not Available","77","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO",50078,"296","137","High (40,000 - 59,999 patients annually)","98","78","Not Available","155","Not Available","31","46","2","27","54","64","Not Available","Not Available","Not Available","96","10","0","Not Available"
"PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE",50353,"439","166","Very High (60,000+ patients annually)","96","83","Not Available","264","Not Available","21","51","1","89","87","88","Not Available","Not Available","Not Available","99","7","0","0"
"PROVIDENCE MEDFORD MEDICAL CENTER",380075,"294","146","Medium (20,000 - 39,999 patients annually)","81","67","Not Available","150","Not Available","30","58","3","Not Available","94","75","Not Available","58","Not Available","100","3","0","Not Available"
"PROVIDENCE MEDICAL CENTER",170146,"228","113","Medium (20,000 - 39,999 patients annually)","99","99","Not Available","128","Not Available","19","55","1","Not Available","98","93","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available"
"PROVIDENCE MEDICAL CENTER",281345,"Not Available","Not Available","Low (0 - 19,999 patients annually)","91","96","Not Available","106","Not Available","22","52","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","92","4","Not Available","Not Available"
"PROVIDENCE MILWAUKIE HOSPITAL",380082,"256","83","Medium (20,000 - 39,999 patients annually)","80","76","Not Available","142","Not Available","21","64","2","58","94","91","Not Available","Not Available","Not Available","96","11","Not Available","Not Available"
"PROVIDENCE MOUNT CARMEL HOSPITAL",501326,"283","63","Not Available","96","73","Not Available","164","Not Available","28","47","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","5","Not Available","Not Available"
"PROVIDENCE NEWBERG MEDICAL CENTER",380037,"253","85","Medium (20,000 - 39,999 patients annually)","77","78","Not Available","158","Not Available","14","34","2","Not Available","92","81","Not Available","Not Available","36","100","7","0","Not Available"
"PROVIDENCE PORTLAND MEDICAL CENTER",380061,"275","95","Very High (60,000+ patients annually)","86","75","Not Available","186","Not Available","36","62","3","Not Available","94","77","Not Available","85","Not Available","94","3","2","9"
"PROVIDENCE REGIONAL MEDICAL CENTER EVERETT",500014,"324","127","Very High (60,000+ patients annually)","78","93","Not Available","216","Not Available","34","60","5","45","82","86","Not Available","50","Not Available","Not Available","Not Available","0","0"
"PROVIDENCE SACRED HEART MEDICAL CENTER",500054,"283","102","Very High (60,000+ patients annually)","78","81","Not Available","228","Not Available","38","50","6","15","95","60","Not Available","Not Available","Not Available","Not Available","Not Available","8","7"
"PROVIDENCE SAINT JOHN'S HEALTH CENTER",50290,"408","204","Medium (20,000 - 39,999 patients annually)","87","80","Not Available","182","Not Available","24","70","3","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0","0"
"PROVIDENCE SAINT JOSEPH MEDICAL CTR",50235,"290","132","Very High (60,000+ patients annually)","87","79","Not Available","159","Not Available","29","70","3","73","97","92","Not Available","26","Not Available","94","1","6","0"
"PROVIDENCE SEASIDE HOSPITAL",381303,"214","66","Low (0 - 19,999 patients annually)","87","85","Not Available","115","Not Available","13","40","2","86","84","100","Not Available","Not Available","Not Available","100","7","Not Available","Not Available"
"PROVIDENCE SEWARD HOSPITAL",21302,"Not Available","Not Available","Not Available","Not Available","78","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"PROVIDENCE ST JOSEPH HOSPITAL",501309,"207","41","Not Available","89","82","Not Available","129","Not Available","16","44","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","96","3","Not Available","Not Available"
"PROVIDENCE ST JOSEPH MEDICAL CENTER",271343,"167","48","Low (0 - 19,999 patients annually)","95","Not Available","Not Available","100","Not Available","12","32","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","21","Not Available","Not Available"
"PROVIDENCE ST MARY MEDICAL CENTER",500002,"287","144","Medium (20,000 - 39,999 patients annually)","87","86","Not Available","129","Not Available","16","60","2","Not Available","97","93","Not Available","Not Available","Not Available","Not Available","Not Available","1","Not Available"
"PROVIDENCE ST PETER HOSPITAL",500024,"367","159","Very High (60,000+ patients annually)","94","88","Not Available","201","Not Available","63","82","6","Not Available","83","95","Not Available","Not Available","Not Available","58","13","1","5"
"PROVIDENCE ST VINCENT MEDICAL CENTER",380004,"284","81","Very High (60,000+ patients annually)","70","82","Not Available","186","Not Available","36","65","3","69","97","89","Not Available","81","Not Available","100","0","2","6"
"PROVIDENCE TARZANA MEDICAL CENTER",50761,"243","123","High (40,000 - 59,999 patients annually)","100","84","Not Available","104","Not Available","13","34","1","81","97","98","Not Available","Not Available","Not Available","Not Available","Not Available","1","0"
"PROVIDENCE VALDEZ MEDICAL CENTER",21301,"Not Available","Not Available","Not Available","29","72","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"PROVIDENCE WILLAMETTE FALLS MEDICAL CENTER",380038,"253","79","Medium (20,000 - 39,999 patients annually)","77","68","Not Available","173","Not Available","24","68","2","64","96","59","Not Available","Not Available","50","99","11","1","Not Available"
"PROVIDENT HOSPITAL OF CHICAGO",140300,"416","98","Medium (20,000 - 39,999 patients annually)","96","94","Not Available","160","Not Available","51","88","3","Not Available","100","Not Available","Not Available","Not Available","Not Available","87","49","Not Available","Not Available"
"PROWERS MEDICAL CENTER",61323,"Not Available","Not Available","Not Available","74","98","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available"
"PULASKI MEMORIAL HOSPITAL",151305,"254","65","Low (0 - 19,999 patients annually)","99","96","Not Available","123","Not Available","13","26","0","Not Available","42","88","Not Available","Not Available","120","98","7","0","Not Available"
"PULLMAN REGIONAL HOSPITAL",501331,"Not Available","Not Available","Not Available","81","83","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"PUNXSUTAWNEY AREA HOSPITAL",390199,"188","69","Low (0 - 19,999 patients annually)","94","94","Not Available","102","Not Available","18","61","0","Not Available","99","98","Not Available","Not Available","Not Available","97","5","21","Not Available"
"PURCELL MUNICIPAL HOSPITAL",370158,"176","46","Low (0 - 19,999 patients annually)","94","97","Not Available","85","Not Available","17","46","2","Not Available","97","97","Not Available","Not Available","Not Available","97","8","Not Available","Not Available"
"PUSHMATAHA COUNTY TOWN OF ANTLERS HOSPITAL",370083,"190","45","Low (0 - 19,999 patients annually)","74","42","Not Available","105","Not Available","20","Not Available","2","Not Available","0","50","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"PUTNAM COMMUNITY MEDICAL CENTER",100232,"214","88","Low (0 - 19,999 patients annually)","98","89","Not Available","106","Not Available","6","32","1","83","100","100","Not Available","Not Available","Not Available","100","6","0","Not Available"
"PUTNAM COUNTY HOSPITAL",151333,"Not Available","Not Available","Low (0 - 19,999 patients annually)","95","67","Not Available","97","Not Available","8","34","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","5","Not Available","Not Available"
"PUTNAM COUNTY MEMORIAL HOSPITAL",261305,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"PUTNAM GENERAL HOSPITAL",111313,"267","95","Low (0 - 19,999 patients annually)","69","99","Not Available","127","Not Available","28","43","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","95","5","Not Available","Not Available"
"PUTNAM HOSPITAL CENTER",330273,"250","94","Medium (20,000 - 39,999 patients annually)","99","85","Not Available","154","Not Available","24","53","1","93","Not Available","100","Not Available","Not Available","70","96","5","0","Not Available"
"QUAIL CREEK SURGICAL HOSPITAL",450875,"Not Available","Not Available","Low (0 - 19,999 patients annually)","100","100","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"QUEEN OF THE VALLEY MEDICAL CENTER",50009,"319","208","Medium (20,000 - 39,999 patients annually)","97","86","Not Available","148","Not Available","33","56","2","Not Available","93","89","Not Available","100","Not Available","94","0","0","Not Available"
"QUEENS HOSPITAL CENTER",330231,"519","145","Very High (60,000+ patients annually)","80","91","Not Available","250","Not Available","100","103","4","Not Available","100","96","Not Available","Not Available","112","99","25","0","5"
"QUINCY VALLEY HOSPITAL",501320,"184","14","Not Available","Not Available","80","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"QUITMAN COUNTY HOSPITAL CAH",251314,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"RADY CHILDREN'S HOSPITAL - SAN DIEGO",53303,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"RAINBOW BABIES AND CHILDRENS HOSPITAL",363302,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"RAINY LAKE MEDICAL CENTER",241322,"253","66","Low (0 - 19,999 patients annually)","91","Not Available","Not Available","140","Not Available","32","Not Available","2","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","92","0","Not Available","Not Available"
"RALEIGH GENERAL HOSPITAL",510070,"273","96","High (40,000 - 59,999 patients annually)","98","87","Not Available","159","Not Available","42","13","2","85","67","98","Not Available","Not Available","Not Available","90","15","6","0"
"RANDOLPH HOSPITAL",340123,"233","86","High (40,000 - 59,999 patients annually)","98","99","Not Available","152","Not Available","33","49","4","69","69","65","Not Available","80","42","98","10","0","Not Available"
"RANGELY DISTRICT HOSPITAL",61307,"146","10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"RANKEN JORDAN A PEDIATRIC REHAB",263303,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"RANKIN HOSPITAL MEDICAL CLINIC",451329,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"RANSOM MEMORIAL HOSPITAL",170014,"186","54","Low (0 - 19,999 patients annually)","98","98","Not Available","105","Not Available","14","42","1","83","96","96","Not Available","Not Available","Not Available","96","9","0","Not Available"
"RAPIDES REGIONAL MEDICAL CENTER",190026,"276","80","Very High (60,000+ patients annually)","100","82","Not Available","131","Not Available","9","36","1","Not Available","100","100","Not Available","Not Available","Not Available","Not Available","Not Available","0","0"
"RAPPAHANNOCK GENERAL HOSPITAL",491308,"276","95","Low (0 - 19,999 patients annually)","84","96","Not Available","144","Not Available","16","30","2","86","98","78","Not Available","Not Available","Not Available","96","6","Not Available","Not Available"
"RARITAN BAY MEDICAL CENTER PERTH AMBOY DIVISION",310039,"325","122","Very High (60,000+ patients annually)","99","99","Not Available","141","Not Available","22","46","1","57","68","60","Not Available","Not Available","Not Available","Not Available","Not Available","0","0"
"RAULERSON HOSPITAL",100252,"180","56","Medium (20,000 - 39,999 patients annually)","100","86","Not Available","99","Not Available","5","27","0","88","100","100","Not Available","Not Available","Not Available","100","11","Not Available","Not Available"
"RAWLINS COUNTY HEALTH CENTER",171307,"114","0","Not Available","59","91","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"RAY COUNTY MEMORIAL HOSPITAL",261327,"Not Available","Not Available","Low (0 - 19,999 patients annually)","85","Not Available","Not Available","Not Available","Not Available","23","78","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"READING HOSPITAL",390044,"338","137","Very High (60,000+ patients annually)","100","97","Not Available","206","Not Available","45","54","2","Not Available","95","97","Not Available","90","Not Available","Not Available","Not Available","0","0"
"REAGAN MEMORIAL HOSPITAL",451301,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"RED BAY HOSPITAL",11302,"208","54","Not Available","95","86","Not Available","107","Not Available","15","62","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","6","Not Available","Not Available"
"RED BUD REGIONAL HOSPITAL",141348,"190","75","Low (0 - 19,999 patients annually)","100","92","Not Available","97","Not Available","15","30","1","Not Available","96","100","Not Available","Not Available","Not Available","100","3","Not Available","Not Available"
"RED LAKE HOSPITAL A",240206,"246","72","Not Available","71","76","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"REDINGTON FAIRVIEW GENERAL HOSPITAL",201314,"288","60","Not Available","100","95","28","113","60","19","43","Not Available","67","Not Available","Not Available","Not Available","Not Available","Not Available","95","6","0","Not Available"
"REDLANDS COMMUNITY HOSPITAL",50272,"498","296","High (40,000 - 59,999 patients annually)","79","91","Not Available","192","Not Available","32","74","1","84","96","21","Not Available","35","Not Available","94","11","0","Not Available"
"REDMOND REGIONAL MEDICAL CENTER",110168,"256","83","High (40,000 - 59,999 patients annually)","98","97","Not Available","136","Not Available","6","33","1","Not Available","95","100","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"REDWOOD AREA HOSPITAL",241351,"172","29","Low (0 - 19,999 patients annually)","94","Not Available","Not Available","105","Not Available","24","75","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","5","0","Not Available"
"REDWOOD MEMORIAL HOSPITAL",51318,"325","77","Not Available","92","93","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"REEDSBURG AREA MEDICAL CENTER",521351,"250","76","Low (0 - 19,999 patients annually)","97","99","Not Available","121","Not Available","12","37","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","98","4","0","Not Available"
"REEVES COUNTY HOSPITAL DISTRICT",451377,"Not Available","Not Available","Low (0 - 19,999 patients annually)","Not Available","Not Available","Not Available","91","Not Available","26","37","4","Not Available","74","Not Available","Not Available","Not Available","Not Available","71","14","0","Not Available"
"REEVES MEMORIAL MEDICAL CENTER",191326,"211","25","Low (0 - 19,999 patients annually)","80","72","Not Available","100","Not Available","21","Not Available","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"REFUGIO COUNTY MEMORIAL HOSPITAL",451317,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"REGINA HOSPITAL",240059,"215","88","Low (0 - 19,999 patients annually)","98","78","Not Available","131","Not Available","14","49","1","78","94","98","Not Available","Not Available","Not Available","93","14","18","Not Available"
"REGIONAL GENERAL HOSPITAL WILLISTON",100322,"185","36","Low (0 - 19,999 patients annually)","20","26","Not Available","114","Not Available","21","Not Available","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"REGIONAL HEALTH CUSTER HOSPITAL",431323,"206","26","Low (0 - 19,999 patients annually)","87","97","Not Available","106","Not Available","22","38","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","4","Not Available","Not Available"
"REGIONAL HEALTH LEAD-DEADWOOD HOSPITAL",431320,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","76","Not Available","0","35","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","93","5","Not Available","Not Available"
"REGIONAL HEALTH RAPID CITY HOSPITAL",430077,"238","74","High (40,000 - 59,999 patients annually)","94","99","Not Available","117","Not Available","20","51","1","Not Available","77","98","Not Available","91","Not Available","Not Available","Not Available","0","0"
"REGIONAL HEALTH SERVICES OF HOWARD COUNTY",161328,"Not Available","Not Available","Not Available","52","95","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"REGIONAL HEALTH SPEARFISH HOSPITAL",430048,"195","45","Low (0 - 19,999 patients annually)","96","96","29","124","50","22","46","2","Not Available","71","97","Not Available","Not Available","Not Available","98","7","1","Not Available"
"REGIONAL HEALTH STURGIS HOSPITAL",431321,"140","26","Low (0 - 19,999 patients annually)","87","Not Available","Not Available","92","Not Available","12","Not Available","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","96","5","Not Available","Not Available"
"REGIONAL HOSPITAL OF SCRANTON",390237,"390","202","Medium (20,000 - 39,999 patients annually)","100","57","Not Available","170","Not Available","27","63","3","Not Available","98","39","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0"
"REGIONAL MEDICAL CENTER",161343,"Not Available","Not Available","Not Available","81","95","Not Available","143","Not Available","17","53","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","8","Not Available","Not Available"
"REGIONAL MEDICAL CENTER BAYONET POINT",100256,"264","83","High (40,000 - 59,999 patients annually)","100","89","Not Available","165","Not Available","10","32","1","93","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0"
"REGIONAL MEDICAL CENTER OF SAN JOSE",50125,"381","238","Very High (60,000+ patients annually)","100","90","Not Available","132","Not Available","6","25","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","98","7","0","0"
"REGIONAL ONE HEALTH",440152,"414","172","Very High (60,000+ patients annually)","96","100","Not Available","235","Not Available","35","92","3","Not Available","99","100","Not Available","Not Available","Not Available","Not Available","Not Available","3","2"
"REGIONAL WEST GARDEN COUNTY HOSPITAL",281310,"Not Available","Not Available","Not Available","Not Available","100","Not Available","86","Not Available","20","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"REGIONAL WEST MEDICAL CENTER",280061,"266","105","Low (0 - 19,999 patients annually)","97","97","Not Available","172","Not Available","28","18","3","Not Available","98","99","Not Available","Not Available","Not Available","100","5","0","Not Available"
"REGIONS HOSPITAL",240106,"310","188","Very High (60,000+ patients annually)","97","89","Not Available","187","Not Available","28","48","3","Not Available","91","95","Not Available","86","Not Available","Not Available","9","1","0"
"REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES",320038,"369","111","Medium (20,000 - 39,999 patients annually)","60","97","Not Available","186","Not Available","60","82","9","Not Available","38","91","88","Not Available","Not Available","94","28","Not Available","Not Available"
"REID HEALTH",150048,"225","83","High (40,000 - 59,999 patients annually)","94","67","Not Available","164","Not Available","42","58","1","Not Available","97","100","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available"
"RENOWN REGIONAL MEDICAL CENTER",290001,"337","200","Very High (60,000+ patients annually)","97","85","Not Available","187","Not Available","40","52","2","33","Not Available","100","Not Available","77","Not Available","Not Available","Not Available","0","0"
"RENOWN SOUTH MEADOWS MEDICAL CENTER",290049,"258","132","Medium (20,000 - 39,999 patients annually)","95","73","Not Available","166","Not Available","34","56","2","Not Available","Not Available","100","Not Available","Not Available","28","99","5","Not Available","Not Available"
"RENVILLE COUNTY HOSPITAL AND CLINICS",241306,"175","18","Low (0 - 19,999 patients annually)","89","Not Available","Not Available","119","Not Available","8","46","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","89","2","Not Available","Not Available"
"REPUBLIC COUNTY HOSPITAL",171361,"Not Available","Not Available","Not Available","60","99","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"RESEARCH MEDICAL CENTER",260027,"254","113","Very High (60,000+ patients annually)","100","79","Not Available","104","Not Available","4","34","0","Not Available","100","100","Not Available","92","Not Available","Not Available","Not Available","2","0"
"RESOLUTE HEALTH HOSPITAL",670098,"203","100","Medium (20,000 - 39,999 patients annually)","100","69","Not Available","120","Not Available","11","39","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","8","0","Not Available"
"RESTON HOSPITAL CENTER",490107,"202","59","High (40,000 - 59,999 patients annually)","100","61","Not Available","146","Not Available","7","26","0","89","100","100","Not Available","93","Not Available","92","1","1","0"
"REX HOSPITAL",340114,"358","240","Very High (60,000+ patients annually)","97","99","Not Available","200","Not Available","31","44","2","63","93","75","Not Available","84","Not Available","Not Available","Not Available","1","12"
"REYNOLDS MEMORIAL HOSPITAL",510013,"230","63","Low (0 - 19,999 patients annually)","98","99","Not Available","118","Not Available","13","54","0","Not Available","88","95","Not Available","Not Available","Not Available","100","11","Not Available","Not Available"
"RHEA MEDICAL CENTER",441310,"Not Available","Not Available","Not Available","Not Available","62","Not Available","89","Not Available","21","71","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","81","10","Not Available","Not Available"
"RHODE ISLAND HOSPITAL",410007,"372","196","Very High (60,000+ patients annually)","90","92","Not Available","204","Not Available","39","37","3","67","86","100","Not Available","91","Not Available","Not Available","Not Available","Not Available","0"
"RICE MEDICAL CENTER",451312,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","96","Not Available","18","47","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","62","23","Not Available","Not Available"
"RICE MEMORIAL HOSPITAL",240088,"222","66","Low (0 - 19,999 patients annually)","98","87","Not Available","132","Not Available","20","41","1","Not Available","96","99","Not Available","83","Not Available","99","10","9","Not Available"
"RICELAND MEDICAL CENTER",451328,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"RICHARDSON MEDICAL CENTER",190151,"202","60","Low (0 - 19,999 patients annually)","71","27","Not Available","80","Not Available","4","44","2","Not Available","78","Not Available","Not Available","Not Available","Not Available","100","5","Not Available","Not Available"
"RICHLAND HOSPITAL",521341,"Not Available","Not Available","Not Available","85","99","Not Available","109","Not Available","21","36","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","95","7","Not Available","Not Available"
"RICHLAND MEMORIAL HOSPITAL",140147,"229","57","Low (0 - 19,999 patients annually)","93","99","Not Available","125","Not Available","15","28","1","Not Available","56","73","Not Available","Not Available","Not Available","95","2","9","Not Available"
"RICHLAND PARISH HOSPITAL-DELHI",191323,"238","50","Low (0 - 19,999 patients annually)","52","Not Available","Not Available","107","Not Available","13","Not Available","5","Not Available","100","100","Not Available","Not Available","Not Available","91","13","Not Available","Not Available"
"RICHMOND UNIVERSITY MEDICAL CENTER",330028,"552","450","Low (0 - 19,999 patients annually)","79","55","Not Available","160","Not Available","17","63","1","Not Available","24","80","Not Available","Not Available","Not Available","Not Available","Not Available","0","8"
"RIDDLE MEMORIAL HOSPITAL",390222,"370","190","Medium (20,000 - 39,999 patients annually)","97","98","Not Available","194","Not Available","32","64","1","Not Available","60","84","Not Available","Not Available","Not Available","88","5","0","0"
"RIDEOUT MEMORIAL HOSPITAL",50133,"431","249","Very High (60,000+ patients annually)","99","93","Not Available","152","Not Available","10","52","0","74","Not Available","82","Not Available","53","Not Available","Not Available","Not Available","2","0"
