"Hospital.Name","Provider.ID","OP_10","OP_11","OP_13","OP_14","OP_8","OP_9"
"SIGNATURE HEALTHCARE BROCKTON HOSPITAL",220052,"4.8","0.1","4.8","2.5","36.8","7.1"
"SILOAM SPRINGS REGIONAL HOSPITAL",40001,"6.3","3.8","10.0","Not Available","Not Available","14.9"
"SILVER CROSS HOSPITAL  AND MEDICAL CENTERS",140213,"4.3","0.3","3.6","1.6","45.2","6.5"
"SILVER LAKE MEDICAL CENTER",50763,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SIMPSON GENERAL HOSPITAL CAH",251317,"16.9","Not Available","Not Available","0.0","Not Available","Not Available"
"SINAI HOSPITAL OF BALTIMORE",210012,"3.2","1.5","5.4","3.7","Not Available","11.9"
"SINAI-GRACE HOSPITAL",230024,"16.9","7.1","9.6","1.8","38.1","13.0"
"SINGING RIVER HOSPITAL",250040,"13.7","7.5","6.2","1.3","41.2","6.2"
"SIOUX CENTER HEALTH",161346,"7.6","4.1","Not Available","0.0","Not Available","14.9"
"SIOUX FALLS SPECIALTY HOSPITAL LLP",430090,"Not Available","Not Available","Not Available","Not Available","35.1","Not Available"
"SISTERS OF CHARITY HOSPITAL",330078,"2.5","0.0","6.1","1.4","Not Available","10.6"
"SISTERSVILLE GENERAL HOSPITAL",511304,"7.2","Not Available","Not Available","Not Available","Not Available","10.0"
"SITKA COMMUNITY HOSPITAL",21303,"Not Available","Not Available","Not Available","Not Available","Not Available","2.7"
"SKAGIT VALLEY HOSPITAL",500003,"5.8","0.0","2.9","0.9","33.3","Not Available"
"SKIFF MEDICAL CENTER",160032,"5.1","2.6","5.7","0.0","35.0","7.4"
"SKY LAKES MEDICAL CENTER",380050,"5.9","1.3","2.7","0.6","45.1","15.8"
"SKY RIDGE MEDICAL CENTER",60112,"4.9","0.5","6.3","Not Available","52.5","Not Available"
"SKYLINE HOSPITAL",501315,"7.6","Not Available","Not Available","Not Available","Not Available","17.0"
"SLEEPY EYE MUNICIPAL HOSPITAL",241327,"Not Available","Not Available","Not Available","Not Available","Not Available","10.3"
"SLIDELL MEMORIAL HOSPITAL",190040,"31.2","0.2","5.1","1.4","49.3","9.8"
"SMITH COUNTY MEMORIAL HOSPITAL",171377,"18.2","10.7","1.9","Not Available","Not Available","13.6"
"SMYTH COUNTY COMMUNITY HOSPITAL",490038,"0.5","0.0","3.7","0.0","Not Available","3.8"
"SNOQUALMIE VALLEY HOSPITAL",501338,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SOCORRO GENERAL HOSPITAL",321301,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SOIN MEDICAL CENTER",360360,"6.9","0.3","8.4","2.4","44.2","Not Available"
"SOLDIERS AND SAILORS MEMORIAL HOSPITAL",391316,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SOLDIERS AND SAILORS MEMORIAL HOSPITAL OF YATES",331314,"4.3","1.9","Not Available","Not Available","Not Available","14.5"
"SOMERSET HOSPITAL",390039,"2.1","2.3","6.7","Not Available","Not Available","4.1"
"SONOMA DEVELOPMENTAL CENTER",50547,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SONOMA VALLEY HOSPITAL",50090,"4.3","0.6","9.3","Not Available","Not Available","6.3"
"SONOMA WEST MEDICAL CENTER",50781,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SOUTH BALDWIN REGIONAL MEDICAL CENTER",10083,"17.0","9.7","2.3","2.1","38.9","6.7"
"SOUTH BAY HOSPITAL",100259,"3.7","0.0","6.3","Not Available","Not Available","4.9"
"SOUTH BIG HORN COUNTY CRITICAL ACCESS HOSPITAL",531301,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SOUTH CAMERON MEMORIAL HOSPITAL",190307,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SOUTH CENTRAL KS  MED CENTER",170150,"27.7","10.0","Not Available","Not Available","Not Available","4.7"
"SOUTH CENTRAL REG MED CTR",250058,"13.6","0.0","Not Available","3.0","Not Available","3.1"
"SOUTH COAST GLOBAL MEDICAL CENTER",50747,"4.4","Not Available","Not Available","0.0","Not Available","Not Available"
"SOUTH COUNTY HOSPITAL INC",410008,"7.8","0.5","6.3","2.2","38.5","10.5"
"SOUTH FLORIDA BAPTIST HOSPITAL",100132,"4.6","3.3","Not Available","1.3","Not Available","10.0"
"SOUTH GEORGIA MEDICAL CENTER",110122,"9.4","0.2","6.2","1.0","Not Available","7.0"
"SOUTH LAKE HOSPITAL",100051,"4.7","0.5","2.5","1.7","Not Available","10.4"
"SOUTH LINCOLN MEDICAL CENTER - CAH",531315,"Not Available","Not Available","Not Available","Not Available","Not Available","11.8"
"SOUTH LYON MEDICAL CENTER",291314,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SOUTH MIAMI HOSPITAL",100154,"2.8","0.5","6.1","2.4","Not Available","12.7"
"SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER",41316,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SOUTH NASSAU COMMUNITIES HOSPITAL",330198,"2.4","0.0","5.4","0.8","Not Available","65.2"
"SOUTH PENINSULA HOSPITAL",21313,"7.8","0.0","Not Available","0.0","61.2","10.2"
"SOUTH POINTE HOSPITAL",360144,"2.6","0.8","Not Available","2.1","Not Available","8.5"
"SOUTH SHORE HOSPITAL",140181,"10.5","Not Available","Not Available","0.6","Not Available","4.4"
"SOUTH SHORE HOSPITAL",220100,"2.8","3.4","4.6","0.8","27.9","8.7"
"SOUTH SUNFLOWER COUNTY HOSPITAL",250095,"8.5","Not Available","Not Available","Not Available","Not Available","11.1"
"SOUTH TEXAS HEALTH SYSTEM",450119,"10.0","3.0","9.7","1.4","Not Available","8.6"
"SOUTH TEXAS REGIONAL MEDICAL CENTER",450165,"1.4","1.8","Not Available","0.4","Not Available","17.5"
"SOUTH TEXAS SPINE AND SURGICAL HOSPITAL",450856,"Not Available","Not Available","Not Available","Not Available","50.0","Not Available"
"SOUTH TEXAS SURGICAL HOSPITAL",670061,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SOUTHAMPTON HOSPITAL",330340,"12.9","0.0","Not Available","1.4","32.5","23.0"
"SOUTHAMPTON MEMORIAL HOSPITAL",490092,"8.1","3.0","3.2","0.3","Not Available","4.0"
"SOUTHCOAST HOSPITAL GROUP, INC",220074,"5.6","0.3","4.0","1.9","36.7","9.8"
"SOUTHEAST ALABAMA MEDICAL CENTER",10001,"9.0","1.5","5.9","1.6","35.1","4.6"
"SOUTHEAST COLORADO HOSPITAL",61311,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS",110025,"12.6","0.4","3.3","2.5","37.0","4.5"
"SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS",110146,"12.4","8.6","3.1","Not Available","Not Available","6.5"
"SOUTHEAST HEALTH CENTER OF RIPLEY COUNTY",260080,"6.1","0.0","Not Available","Not Available","Not Available","Not Available"
"SOUTHEAST MICHIGAN SURGICAL HOSPITAL",230264,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER",360203,"10.5","6.7","3.2","1.4","56.8","6.2"
"SOUTHEASTERN REGIONAL MEDICAL CENTER",110233,"3.6","0.2","Not Available","Not Available","Not Available","Not Available"
"SOUTHEASTERN REGIONAL MEDICAL CENTER",340050,"2.5","1.6","4.0","2.0","41.4","6.3"
"SOUTHEASTHEALTH",260110,"33.8","0.2","5.0","2.1","32.1","3.9"
"SOUTHEASTHEALTH CENTER OF STODDARD COUNTY",260160,"15.6","10.4","Not Available","1.1","Not Available","12.2"
"SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD",50135,"0.5","1.7","Not Available","Not Available","Not Available","Not Available"
"SOUTHERN COOS HOSPITAL & HEALTH CENTER",381304,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER",290047,"0.8","0.0","5.3","Not Available","Not Available","Not Available"
"SOUTHERN INYO HOSPITAL",51302,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SOUTHERN MAINE HEALTH CARE",200019,"2.6","0.0","4.7","0.9","36.4","10.4"
"SOUTHERN NH MEDICAL CENTER",300020,"6.0","0.3","6.0","1.4","28.9","6.5"
"SOUTHERN OCEAN MEDICAL CENTER",310113,"5.7","3.7","6.8","2.0","Not Available","10.5"
"SOUTHERN OHIO MEDICAL CENTER",360008,"6.4","1.6","5.0","0.0","42.6","11.5"
"SOUTHERN REGIONAL MEDICAL CENTER",110165,"5.0","3.8","0.0","1.1","Not Available","10.1"
"SOUTHERN SURGICAL HOSPITAL",190270,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCE",440175,"8.4","2.4","4.3","1.9","47.1","11.0"
"SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI",440020,"1.1","0.9","2.9","Not Available","Not Available","5.3"
"SOUTHERN TENNESSEE REGIONAL HLTH SYSTEM WINCHESTER",440058,"4.8","0.6","3.7","4.5","22.8","5.6"
"SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER",490097,"12.6","4.2","Not Available","1.1","Not Available","4.6"
"SOUTHSIDE COMMUNITY HOSPITAL, INC",490090,"1.9","0.2","4.0","1.0","31.5","12.3"
"SOUTHSIDE HOSPITAL",330043,"0.4","0.0","6.6","1.4","Not Available","Not Available"
"SOUTHSIDE REGIONAL MEDICAL CENTER",490067,"14.3","2.0","4.8","1.6","23.9","10.4"
"SOUTHWEST GENERAL HEALTH CENTER",360155,"13.3","0.2","5.4","2.7","33.9","7.2"
"SOUTHWEST GENERAL HOSPITAL",450697,"3.5","Not Available","Not Available","Not Available","Not Available","Not Available"
"SOUTHWEST GEORGIA REGIONAL MEDICAL CENTER",111300,"4.1","Not Available","Not Available","Not Available","Not Available","Not Available"
"SOUTHWEST HEALTH CENTER",521354,"1.7","0.0","Not Available","Not Available","Not Available","5.5"
"SOUTHWEST HEALTHCARE SERVICES",351313,"Not Available","Not Available","Not Available","0.0","Not Available","7.4"
"SOUTHWEST HEALTHCARE SYSTEM",50701,"1.0","3.6","Not Available","Not Available","Not Available","2.9"
"SOUTHWEST MEDICAL CENTER",170068,"14.7","18.7","3.8","Not Available","Not Available","4.0"
"SOUTHWEST MEMORIAL HOSPITAL",61327,"2.9","0.5","5.7","1.0","Not Available","8.5"
"SOUTHWEST MS REGIONAL MEDICAL CENTER",250097,"5.8","4.3","5.0","1.8","41.7","6.6"
"SOUTHWESTERN MEDICAL CENTER",370097,"11.3","7.7","3.8","Not Available","47.2","Not Available"
"SOUTHWESTERN REGIONAL MEDICAL CENTER, INC",370190,"8.1","0.0","Not Available","Not Available","Not Available","Not Available"
"SOUTHWESTERN VERMONT MEDICAL CENTER",470012,"4.3","0.0","2.7","0.9","27.8","9.3"
"SPANISH PEAKS REGIONAL HEALTH CENTER",61316,"14.7","11.6","Not Available","0.0","Not Available","7.9"
"SPARKS MEDICAL CENTER - VAN BUREN",40018,"2.9","0.0","Not Available","Not Available","Not Available","8.6"
"SPARKS REGIONAL MEDICAL CENTER",40055,"14.1","9.6","3.6","1.3","48.4","7.0"
"SPARROW CARSON HOSPITAL",230208,"5.0","0.0","4.8","Not Available","47.7","11.4"
"SPARROW CLINTON HOSPITAL",231326,"2.8","0.0","2.9","0.3","Not Available","6.7"
"SPARROW IONIA HOSPITAL",231331,"2.0","0.0","7.1","1.3","Not Available","5.5"
"SPARTA COMMUNITY HOSPITAL",141349,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SPARTANBURG MEDICAL CENTER",420007,"2.7","0.2","3.9","1.1","47.9","8.1"
"SPEARE MEMORIAL HOSPITAL",301311,"2.9","0.0","6.3","1.0","Not Available","7.6"
"SPECIALISTS HOSPITAL SHREVEPORT",190278,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SPECTRUM HEALTH - BUTTERWORTH CAMPUS",230038,"4.8","0.1","5.1","1.2","43.9","8.2"
"SPECTRUM HEALTH BIG RAPIDS HOSPITAL",230093,"6.7","0.3","2.4","1.2","56.0","10.5"
"SPECTRUM HEALTH GERBER MEMORIAL",231338,"4.4","0.8","6.9","2.0","58.6","6.5"
"SPECTRUM HEALTH KELSEY HOSPITAL",231317,"3.4","0.0","Not Available","0.7","Not Available","13.9"
"SPECTRUM HEALTH LUDINGTON HOSPITAL",230110,"8.4","0.6","5.0","1.3","44.3","5.8"
"SPECTRUM HEALTH PENNOCK",230040,"1.4","0.6","2.8","Not Available","Not Available","11.5"
"SPECTRUM HEALTH REED CITY HOSPITAL",231323,"3.2","0.5","6.0","0.8","61.5","6.7"
"SPECTRUM HEALTH UNITED HOSPITAL",230035,"4.2","0.0","3.4","0.9","44.7","9.4"
"SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL",230003,"4.9","2.2","1.7","1.1","Not Available","6.7"
"SPENCER MUNICIPAL HOSPITAL",160112,"9.6","4.0","4.3","1.0","Not Available","6.4"
"SPOONER HEALTH SYSTEM",521332,"4.9","0.0","Not Available","Not Available","Not Available","8.1"
"SPOTSYLVANIA REGIONAL MEDICAL CENTER",490141,"0.0","0.0","2.8","0.8","Not Available","11.7"
"SPRING VALLEY HOSPITAL MEDICAL CENTER",290046,"1.2","3.4","3.1","1.0","Not Available","Not Available"
"SPRING VIEW HOSPITAL",180024,"11.6","3.2","2.0","0.6","Not Available","4.7"
"SPRINGFIELD HOSPITAL",471306,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SPRINGFIELD REGIONAL MEDICAL CENTER",360086,"2.5","0.2","4.9","1.1","41.9","8.7"
"SPRINGHILL MEDICAL CENTER",190088,"31.6","8.5","Not Available","Not Available","Not Available","8.3"
"SPRINGHILL MEMORIAL HOSPITAL",10144,"36.0","0.2","3.4","1.1","Not Available","6.1"
"SPRINGS MEMORIAL HOSPITAL",420036,"2.8","0.4","Not Available","1.4","Not Available","12.9"
"SSM HEALTH DEPAUL HOSPITAL ST LOUIS",260104,"3.2","0.6","4.3","1.1","43.3","5.8"
"SSM HEALTH SAINT JOSEPH HOSPITAL-LAKE SAINT LOUIS",260200,"4.9","0.6","4.6","1.8","35.8","6.8"
"SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL",260105,"3.7","0.0","Not Available","2.6","Not Available","7.6"
"SSM HEALTH ST CLARE HOSPITAL - BARABOO",520057,"3.7","0.0","6.5","Not Available","Not Available","7.7"
"SSM HEALTH ST CLARE HOSPITAL - FENTON",260081,"3.7","1.9","3.4","2.4","40.7","7.0"
"SSM HEALTH ST FRANCIS HOSPITAL - MARYVILLE",260050,"3.7","0.4","3.8","Not Available","Not Available","6.3"
"SSM HEALTH ST JOSEPH HOSPITAL-ST CHARLES",260005,"5.6","0.6","3.7","1.5","35.5","5.7"
"SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE",520208,"0.0","Not Available","Not Available","0.0","Not Available","Not Available"
"SSM HEALTH ST MARY'S HOSPITAL - MADISON",520083,"0.5","0.0","3.8","2.2","Not Available","Not Available"
"SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS",260091,"4.8","0.0","7.0","2.2","35.2","6.5"
"SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA",140034,"4.5","0.0","6.0","1.9","48.0","8.9"
"SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY",260011,"3.6","1.0","4.6","0.7","44.0","11.3"
"SSM HEALTH ST. MARY'S HOSPITAL-AUDRAIN",260064,"1.2","0.8","1.7","0.9","Not Available","10.6"
"ST AGNES HOSPITAL",520088,"9.1","3.8","4.1","0.7","32.9","6.1"
"ST ALEXIUS HOSPITAL",260210,"12.0","Not Available","Not Available","Not Available","Not Available","12.7"
"ST ALEXIUS MEDICAL CENTER",140290,"7.6","0.0","5.4","2.2","28.0","5.8"
"ST ALOISIUS MEDICAL CENTER",351327,"Not Available","Not Available","Not Available","Not Available","Not Available","2.5"
"ST ANDREWS HEALTH CENTER - CAH",351307,"5.2","Not Available","Not Available","0.0","Not Available","13.6"
"ST ANDREWS HOSPITAL",201302,"0.9","0.4","1.4","0.9","46.8","6.1"
"ST ANTHONY COMMUNITY HOSPITAL",330205,"4.6","0.0","3.8","0.8","Not Available","9.0"
"ST ANTHONY HOSPITAL",370037,"8.6","3.7","3.8","1.2","47.4","13.6"
"ST ANTHONY HOSPITAL",381319,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ST ANTHONY HOSPITAL",500151,"4.9","0.0","6.6","0.6","36.8","10.8"
"ST ANTHONY NORTH HEALTH CAMPUS",60104,"2.3","1.3","6.5","1.5","Not Available","8.2"
"ST ANTHONY REGIONAL HOSPITAL & NURSING HOME",160005,"6.9","1.3","Not Available","0.6","Not Available","5.0"
"ST ANTHONY SHAWNEE HOSPITAL",370149,"28.6","0.4","2.0","1.2","42.4","4.6"
"ST ANTHONY SUMMIT MEDICAL CENTER",60118,"3.5","0.0","4.4","Not Available","Not Available","4.8"
"ST ANTHONY'S MEDICAL CENTER",260077,"4.2","0.0","2.5","1.5","30.3","5.4"
"ST ANTHONYS HOSPITAL",100067,"7.3","2.1","4.5","1.2","Not Available","5.2"
"ST ANTHONYS MEMORIAL HOSPITAL",140032,"6.5","2.1","4.7","0.9","47.2","7.0"
"ST BARNABAS HOSPITAL",330399,"4.5","1.2","Not Available","Not Available","Not Available","29.5"
"ST BERNARD HOSPITAL",140103,"0.0","Not Available","Not Available","Not Available","Not Available","3.9"
"ST BERNARD PARISH HOSPITAL",190308,"34.2","Not Available","Not Available","Not Available","Not Available","15.7"
"ST BERNARDINE MEDICAL CENTER",50129,"15.6","14.3","4.4","1.3","Not Available","14.8"
"ST BERNARDS MEDICAL CENTER",40020,"14.7","0.3","3.9","2.4","36.3","10.0"
"ST CATHERINE HOSPITAL",170023,"12.7","0.6","4.2","Not Available","42.6","1.5"
"ST CATHERINE HOSPITAL INC",150008,"2.3","0.3","3.7","3.0","29.7","9.3"
"ST CATHERINE OF SIENA HOSPITAL",330401,"2.3","1.4","Not Available","2.1","Not Available","59.4"
"ST CHARLES - MADRAS",381324,"1.0","Not Available","Not Available","Not Available","Not Available","Not Available"
"ST CHARLES BEND",380047,"0.5","0.0","3.1","1.0","Not Available","Not Available"
"ST CHARLES HOSPITAL",330246,"5.7","0.0","Not Available","4.5","Not Available","44.1"
"ST CHARLES PARISH HOSPITAL",190079,"12.8","Not Available","Not Available","Not Available","Not Available","7.6"
"ST CHARLES PRINEVILLE",381313,"0.0","Not Available","Not Available","Not Available","Not Available","Not Available"
"ST CHARLES REDMOND",380040,"0.0","Not Available","Not Available","1.0","Not Available","Not Available"
"ST CHARLES SURGICAL HOSPITAL LLC",190300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ST CHRISTOPHER'S HOSPITAL FOR CHILDREN",393307,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ST CLAIR HOSPITAL",390228,"6.8","0.1","5.4","1.9","35.1","9.9"
"ST CLAIRE REGIONAL MEDICAL CENTER",180018,"1.0","0.2","5.9","1.6","38.5","4.8"
"ST CLARE HOSPITAL",500021,"4.3","0.8","5.3","2.3","35.8","Not Available"
"ST CLARES HOSPITAL OF WESTON",520202,"0.0","0.0","Not Available","Not Available","Not Available","Not Available"
"ST CLOUD HOSPITAL",240036,"5.0","0.1","3.9","1.7","50.0","6.9"
"ST CLOUD REGIONAL MEDICAL CENTER",100302,"5.8","8.5","1.9","1.1","Not Available","13.2"
"ST CROIX REGIONAL MEDICAL CENTER",521337,"9.9","0.4","4.2","Not Available","39.0","6.5"
"ST DAVID'S MEDICAL CENTER",450431,"2.1","4.2","4.3","1.9","Not Available","9.9"
"ST DAVID'S SOUTH AUSTIN MEDICAL CENTER",450713,"1.1","1.9","2.8","1.0","Not Available","Not Available"
"ST DOMINIC-JACKSON MEMORIAL HOSPITAL",250048,"3.8","5.4","6.7","0.9","41.5","5.7"
"ST ELIZABETH BOARDMAN HEALTH CENTER",360276,"5.3","4.7","5.6","2.7","41.2","10.3"
"ST ELIZABETH COMMUNITY HOSPITAL",50042,"7.9","8.7","1.1","1.9","58.2","5.8"
"ST ELIZABETH FLORENCE",180045,"3.6","0.2","3.1","0.6","Not Available","6.5"
"ST ELIZABETH FT THOMAS",180001,"2.8","0.0","2.0","0.8","56.8","5.8"
"ST ELIZABETH GRANT",181311,"1.1","0.0","3.7","0.5","52.5","7.6"
"ST ELIZABETH HOSPITAL",140187,"19.6","16.2","4.2","2.2","Not Available","7.5"
"ST ELIZABETH HOSPITAL",190242,"6.9","1.5","Not Available","0.5","Not Available","11.9"
"ST ELIZABETH HOSPITAL",501335,"3.1","1.5","Not Available","0.4","Not Available","11.1"
"ST ELIZABETH HOSPITAL",520009,"5.5","0.0","6.0","0.4","Not Available","6.5"
"ST ELIZABETH MEDICAL CENTER",241335,"3.0","0.0","Not Available","16.4","Not Available","5.6"
"ST ELIZABETH MEDICAL CENTER",330245,"3.8","0.0","5.4","1.2","Not Available","5.9"
"ST ELIZABETH MEDICAL CENTER NORTH",180035,"4.0","0.1","4.1","0.7","39.5","7.4"
"ST ELIZABETH OWEN",181312,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ST ELIZABETH YOUNGSTOWN HOSPITAL",360064,"5.9","3.8","5.4","2.8","Not Available","8.8"
"ST ELIZABETH'S MEDICAL CENTER",220036,"14.9","0.4","4.6","0.0","39.2","4.7"
"ST FRANCIS COMMUNITY HOSPITAL",500141,"4.1","0.0","2.2","0.7","27.9","9.8"
"ST FRANCIS HEALTH CENTER INC",170016,"6.3","0.6","6.5","Not Available","43.2","3.8"
"ST FRANCIS HOSPITAL",80003,"3.4","0.5","2.9","Not Available","Not Available","4.0"
"ST FRANCIS HOSPITAL",110129,"5.7","0.4","5.0","1.4","32.1","8.7"
"ST FRANCIS HOSPITAL",141350,"9.2","0.0","7.1","2.1","32.3","5.9"
"ST FRANCIS HOSPITAL",231337,"9.8","3.4","6.6","1.6","45.6","13.2"
"ST FRANCIS HOSPITAL",440183,"4.1","1.3","4.1","0.5","29.8","9.5"
"ST FRANCIS HOSPITAL",510031,"7.1","2.6","Not Available","Not Available","Not Available","10.9"
"ST FRANCIS HOSPITAL & MEDICAL CENTER",70002,"2.5","0.3","6.4","2.5","34.5","11.6"
"ST FRANCIS HOSPITAL, ROSLYN",330182,"1.8","1.1","6.0","1.4","Not Available","64.4"
"ST FRANCIS MEDICAL CENTER",190125,"26.2","0.0","6.8","3.1","43.9","6.2"
"ST FRANCIS MEDICAL CENTER",241377,"9.0","Not Available","Not Available","Not Available","Not Available","13.0"
"ST FRANCIS MEDICAL CENTER",310021,"5.6","3.1","Not Available","Not Available","Not Available","12.6"
"ST FRANCIS MEMORIAL HOSPITAL",281322,"4.8","0.0","Not Available","0.0","Not Available","3.9"
"ST FRANCIS REGIONAL MEDICAL CENTER",240104,"1.0","0.0","7.3","Not Available","Not Available","4.2"
"ST FRANCIS-DOWNTOWN",420023,"4.7","0.5","Not Available","1.0","35.1","6.7"
"ST GABRIELS HOSPITAL",241370,"1.6","0.0","Not Available","Not Available","Not Available","5.2"
"ST HELENA HOSPITAL",50013,"3.8","0.2","1.1","Not Available","Not Available","6.2"
"ST HELENA HOSPITAL-CLEARLAKE",51317,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ST HELENA PARISH HOSPITAL",191300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ST JAMES HEALTHCARE",270017,"5.8","0.7","5.8","Not Available","Not Available","10.9"
"ST JAMES MERCY HOSPITAL",330151,"12.5","1.5","Not Available","0.5","Not Available","13.8"
"ST JAMES PARISH HOSPITAL",191305,"10.2","Not Available","Not Available","0.5","Not Available","18.3"
"ST JOHN BROKEN ARROW, INC",370235,"4.7","0.6","4.5","0.2","Not Available","15.6"
"ST JOHN HOSPITAL AND MEDICAL CENTER",230165,"11.0","3.0","3.8","2.2","39.8","4.4"
"ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER",230195,"13.6","9.5","2.8","1.7","32.8","9.4"
"ST JOHN MEDICAL CENTER",360123,"5.1","1.6","3.7","2.6","Not Available","12.3"
"ST JOHN MEDICAL CENTER, INC",370114,"3.9","0.5","4.2","0.5","44.3","11.6"
"ST JOHN OWASSO",370227,"3.1","1.3","Not Available","Not Available","47.6","9.4"
"ST JOHN RIVER DISTRICT HOSPITAL",230241,"4.9","0.7","1.6","1.0","Not Available","15.2"
"ST JOHN SAPULPA, INC",371312,"1.4","0.4","Not Available","0.3","Not Available","9.8"
"ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE",330395,"32.3","0.0","Not Available","Not Available","Not Available","27.2"
"ST JOHN'S RIVERSIDE HOSPITAL",330208,"9.4","1.0","7.0","2.5","32.8","28.3"
"ST JOHNS HOSPITAL",140053,"7.9","1.9","5.0","2.4","38.6","8.2"
"ST JOHNS MEDICAL CENTER",530015,"1.7","0.8","5.9","Not Available","49.2","6.1"
"ST JOHNS PLEASANT VALLEY HOSPITAL",50616,"3.4","0.5","Not Available","2.2","Not Available","6.9"
"ST JOHNS REGIONAL MEDICAL CENTER",50082,"0.4","1.3","3.5","1.0","Not Available","Not Available"
"ST JOSEPH HOSPITAL",50006,"14.5","0.2","2.8","0.9","29.2","7.2"
"ST JOSEPH HOSPITAL",50069,"6.1","0.3","6.7","0.3","Not Available","8.6"
"ST JOSEPH HOSPITAL",150047,"4.0","1.4","Not Available","Not Available","Not Available","2.9"
"ST JOSEPH HOSPITAL",200001,"3.6","0.0","4.3","0.9","41.2","5.4"
"ST JOSEPH HOSPITAL",300011,"3.8","0.0","6.0","0.8","39.1","6.1"
"ST JOSEPH HOSPITAL",330332,"1.3","0.0","Not Available","1.7","Not Available","Not Available"
"ST JOSEPH MEDICAL CENTER",140162,"7.3","0.4","5.0","0.8","Not Available","10.4"
"ST JOSEPH MEDICAL CENTER",260085,"5.0","4.7","3.6","1.1","40.8","10.0"
"ST JOSEPH MEDICAL CENTER",390096,"18.0","4.1","Not Available","0.9","43.1","7.3"
"ST JOSEPH MEDICAL CENTER",450035,"12.7","7.1","1.8","1.7","Not Available","6.8"
"ST JOSEPH MEDICAL CENTER",500030,"0.6","0.0","2.9","1.4","Not Available","Not Available"
"ST JOSEPH MEDICAL CENTER",500108,"3.8","0.2","3.2","1.3","46.3","Not Available"
"ST JOSEPH MEMORIAL HOSPITAL",141334,"18.0","15.7","Not Available","Not Available","Not Available","Not Available"
"ST JOSEPH MERCY CHELSEA",230259,"9.5","0.0","3.6","0.2","39.4","7.7"
"ST JOSEPH MERCY HOSPITAL",230156,"5.7","0.3","3.7","0.5","35.6","6.5"
"ST JOSEPH MERCY OAKLAND",230029,"6.0","1.6","5.3","0.7","41.0","6.1"
"ST JOSEPH REGIONAL HEALTH CENTER",450011,"8.0","0.5","6.5","1.2","34.7","6.3"
"ST JOSEPH REGIONAL MEDICAL CENTER",130003,"3.9","0.2","6.0","2.3","45.5","10.6"
"ST JOSEPH WARREN HOSPITAL",360161,"1.7","1.9","5.6","1.8","37.1","13.9"
"ST JOSEPH'S HOSPITAL",30011,"1.6","0.0","3.0","Not Available","Not Available","Not Available"
"ST JOSEPH'S HOSPITAL",141336,"9.5","5.2","5.5","0.9","Not Available","12.5"
"ST JOSEPH'S HOSPITAL",240063,"1.7","1.8","4.3","Not Available","Not Available","3.8"
