"HOSPITAL_NAME","PROVIDER_ID","STATE","FISCAL_YEAR","DOMAIN_1_SCORE","DOMAIN_1_FOOTNOTE","DOMAIN_1_START_DATE","DOMAIN_1_END_DATE","PSI_90_W_Z_SCORE","PSI_90_FOOTNOTE","DOMAIN_2_SCORE","DOMAIN_2_FOOTNOTE","CLABSI_W_Z_SCORE","CLABSI_FOOTNOTE","CAUTI_W_Z_SCORE","CAUTI_FOOTNOTE","SSI_W_Z_SCORE","SSI_FOOTNOTE","MRSA_W_Z_SCORE","MRSA_FOOTNOTE","CDI_W_Z_SCORE","CDI_FOOTNOTE","DOMAIN_2_START_DATE","DOMAIN_2_END_DATE","TOTAL_HAC_SCORE","TOTAL_HAC_FOOTNOTE","PAYMENT_REDUCTION","PAYMENT_REDUCTION_FOOTNOTE"
"BAYLOR SCOTT & WHITE MEDICAL CENTER AT IRVING","450079","TX","2018","0.3878","","07/01/2014","09/30/2015","0.3878","","-0.1770","","0.9752","","-0.4479","","-0.7797","","-0.5802","","-0.0524","","01/01/2015","12/31/2016","-0.0923","","No",""
"TITUS REGIONAL MEDICAL CENTER","450080","TX","2018","-0.4890","","07/01/2014","09/30/2015","-0.4890","","0.5669","","Not Available","5","-1.5254","","1.2659","","Not Available","5","1.9601","","01/01/2015","12/31/2016","0.4085","","Yes",""
"CHRISTUS SPOHN HOSPITAL BEEVILLE","450082","TX","2018","0.1602","","07/01/2014","09/30/2015","0.1602","","-1.1481","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-1.1481","","01/01/2015","12/31/2016","-0.9518","","No",""
"EAST TEXAS MEDICAL CENTER","450083","TX","2018","-1.0573","","07/01/2014","09/30/2015","-1.0573","","0.3861","","0.7807","","0.3473","","-0.4425","","0.9989","","0.2464","","01/01/2015","12/31/2016","0.1696","","No",""
"GRAHAM REGIONAL MEDICAL CENTER","450085","TX","2018","-0.3428","","07/01/2014","09/30/2015","-0.3428","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.3428","","No",""
"NORTH HILLS HOSPITAL","450087","TX","2018","-0.4436","","07/01/2014","09/30/2015","-0.4436","","0.0693","","-1.2116","","0.0015","","0.9427","","0.3086","","0.3051","","01/01/2015","12/31/2016","-0.0077","","No",""
"NORTH TEXAS MEDICAL CENTER","450090","TX","2018","0.8585","","07/01/2014","09/30/2015","0.8585","","1.0351","","Not Available","5","0.1101","","Not Available","5","Not Available","5","1.9601","","01/01/2015","12/31/2016","1.0086","","Yes",""
"FORT DUNCAN MEDICAL CENTER","450092","TX","2018","-1.3535","","07/01/2014","09/30/2015","-1.3535","","-0.5292","","-1.5110","","-0.4262","","-0.4722","","0.3598","","-0.5964","","01/01/2015","12/31/2016","-0.6529","","No",""
"BAYSHORE MEDICAL CENTER","450097","TX","2018","0.3651","","07/01/2014","09/30/2015","0.3651","","-0.0323","","0.2462","","0.0650","","-0.2521","","-0.3289","","0.1085","","01/01/2015","12/31/2016","0.0273","","No",""
"PAMPA REGIONAL MEDICAL CENTER","450099","TX","2018","-0.6074","","07/01/2014","09/30/2015","-0.6074","","-1.0468","","Not Available","5","-1.5254","","Not Available","5","Not Available","5","-0.5683","","01/01/2015","12/31/2016","-0.9809","","No",""
"BAYLOR SCOTT & WHITE MEDICAL CENTER - HILLCREST","450101","TX","2018","0.6956","","07/01/2014","09/30/2015","0.6956","","-0.3357","","-0.2747","","-0.3644","","-0.3727","","-0.1443","","-0.5223","","01/01/2015","12/31/2016","-0.1810","","No",""
"MOTHER FRANCES HOSPITAL","450102","TX","2018","-1.4266","","07/01/2014","09/30/2015","-1.4266","","-0.1468","","-0.5402","","-0.1439","","-0.6871","","-0.1738","","0.8108","","01/01/2015","12/31/2016","-0.3388","","No",""
"GUADALUPE REGIONAL MEDICAL CENTER","450104","TX","2018","-0.4205","","07/01/2014","09/30/2015","-0.4205","","-0.1779","","0.8889","","-0.2975","","0.4955","","-0.6345","","-1.3422","","01/01/2015","12/31/2016","-0.2143","","No",""
"LAS PALMAS MEDICAL CENTER","450107","TX","2018","0.3647","","07/01/2014","09/30/2015","0.3647","","0.0789","","-0.1630","","0.1000","","-0.4006","","0.0372","","0.8211","","01/01/2015","12/31/2016","0.1218","","No",""
"CONNALLY MEMORIAL MEDICAL CENTER","450108","TX","2018","-0.2320","","07/01/2014","09/30/2015","-0.2320","","1.1965","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","1.1965","","01/01/2015","12/31/2016","0.9822","","Yes",""
"SOUTH TEXAS HEALTH SYSTEM","450119","TX","2018","0.9569","","07/01/2014","09/30/2015","0.9569","","-0.5043","","-0.5503","","-0.0069","","-1.2775","","-0.1645","","-0.5223","","01/01/2015","12/31/2016","-0.2851","","No",""
"UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE","450124","TX","2018","1.9347","","07/01/2014","09/30/2015","1.9347","","0.0461","","-0.1529","","0.3306","","0.2614","","-0.4344","","0.2260","","01/01/2015","12/31/2016","0.3294","","No",""
"KNAPP MEDICAL CENTER","450128","TX","2018","-1.3307","","07/01/2014","09/30/2015","-1.3307","","0.3032","","2.1946","","0.1602","","-0.6050","","0.4777","","-0.7113","","01/01/2015","12/31/2016","0.0581","","No",""
"NIX HEALTH CARE SYSTEM","450130","TX","2018","0.6119","","07/01/2014","09/30/2015","0.6119","","-0.8188","","-0.7973","","-0.1355","","-0.6958","","-1.4551","","-1.0102","","01/01/2015","12/31/2016","-0.6042","","No",""
"MEDICAL CENTER HOSPITAL","450132","TX","2018","1.4163","","07/01/2014","09/30/2015","1.4163","","0.1555","","0.2327","","0.1117","","0.2178","","0.0558","","0.1596","","01/01/2015","12/31/2016","0.3446","","No",""
"MIDLAND MEMORIAL HOSPITAL","450133","TX","2018","-1.1634","","07/01/2014","09/30/2015","-1.1634","","-0.4200","","-0.0024","","-1.0108","","-0.0023","","-0.3274","","-0.7573","","01/01/2015","12/31/2016","-0.5315","","No",""
"TEXAS HEALTH HARRIS METHODIST HOSPITAL FORT WORTH","450135","TX","2018","0.4446","","07/01/2014","09/30/2015","0.4446","","0.0814","","-0.3220","","0.5461","","0.1881","","-0.3894","","0.3843","","01/01/2015","12/31/2016","0.1359","","No",""
"BAYLOR SCOTT & WHITE ALL SAINTS MEDICAL CENTER FORT WORTH","450137","TX","2018","-1.7118","","07/01/2014","09/30/2015","-1.7118","","0.0051","","0.6420","","-0.5331","","0.2492","","-0.5228","","0.1902","","01/01/2015","12/31/2016","-0.2524","","No",""
"SETON SMITHVILLE REGIONAL HOSPITAL","450143","TX","2018","-0.0118","","07/01/2014","09/30/2015","-0.0118","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0118","","No",""
"PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO","450144","TX","2018","-0.0276","","07/01/2014","09/30/2015","-0.0276","","0.0293","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","0.0293","","01/01/2015","12/31/2016","0.0208","","No",""
"DE TAR HOSPITAL NAVARRO","450147","TX","2018","0.7281","","07/01/2014","09/30/2015","0.7281","","0.2630","","0.7130","","0.3473","","-1.3265","","1.6132","","-0.0320","","01/01/2015","12/31/2016","0.3328","","No",""
"TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE","450148","TX","2018","-0.1942","","07/01/2014","09/30/2015","-0.1942","","-0.8788","","-1.5110","","-1.5254","","-0.8181","","-1.4551","","0.9155","","01/01/2015","12/31/2016","-0.7761","","No",""
"METROPLEX HOSPITAL","450152","TX","2018","0.6084","","07/01/2014","09/30/2015","0.6084","","-0.7111","","-1.5110","","-1.5254","","-0.5386","","0.6034","","-0.5836","","01/01/2015","12/31/2016","-0.5131","","No",""
"VAL VERDE REGIONAL MEDICAL CENTER","450154","TX","2018","-0.6097","","07/01/2014","09/30/2015","-0.6097","","0.1251","","Not Available","5","2.0495","","Not Available","5","Not Available","5","-1.7993","","01/01/2015","12/31/2016","0.0149","","No",""
"HEREFORD REGIONAL MEDICAL CENTER","450155","TX","2018","-0.0638","","07/01/2014","09/30/2015","-0.0638","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0638","","No",""
"GRACE MEDICAL CENTER","450162","TX","2018","-0.7279","","07/01/2014","09/30/2015","-0.7279","","0.6905","","Not Available","5","0.1318","","2.1044","","Not Available","5","-0.1648","","01/01/2015","12/31/2016","0.4777","","Yes",""
"CHRISTUS SPOHN HOSPITAL KLEBERG","450163","TX","2018","-0.5269","","07/01/2014","09/30/2015","-0.5269","","0.2192","","1.2746","","-1.5254","","0.7488","","2.2236","","-1.6257","","01/01/2015","12/31/2016","0.1073","","No",""
"SOUTH TEXAS REGIONAL MEDICAL CENTER","450165","TX","2018","0.7284","","07/01/2014","09/30/2015","0.7284","","0.4160","","Not Available","5","0.7682","","0.5270","","Not Available","5","-0.0473","","01/01/2015","12/31/2016","0.4628","","Yes",""
"MISSION REGIONAL MEDICAL CENTER","450176","TX","2018","-0.2713","","07/01/2014","09/30/2015","-0.2713","","0.1164","","1.1883","","-0.2892","","0.7069","","-0.8082","","-0.2159","","01/01/2015","12/31/2016","0.0582","","No",""
"MEMORIAL HERMANN HOSPITAL SYSTEM","450184","TX","2018","-0.0921","","07/01/2014","09/30/2015","-0.0921","","-0.2997","","0.3359","","-0.9925","","-0.1368","","-0.1366","","-0.5683","","01/01/2015","12/31/2016","-0.2685","","No",""
"BAYLOR SCOTT & WHITE MEDICAL CENTER - BRENHAM","450187","TX","2018","0.1906","","07/01/2014","09/30/2015","0.1906","","1.6549","","Not Available","5","1.3496","","Not Available","5","Not Available","5","1.9601","","01/01/2015","12/31/2016","1.4352","","Yes",""
"HILL REGIONAL HOSPITAL","450192","TX","2018","-0.2715","","07/01/2014","09/30/2015","-0.2715","","-1.9602","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-1.9602","","01/01/2015","12/31/2016","-1.7069","","No",""
"CHI BAYLOR ST LUKES  MEDICAL CENTER","450193","TX","2018","0.4112","","07/01/2014","09/30/2015","0.4112","","0.1915","","-0.3474","","0.3740","","0.3593","","-0.2544","","0.8262","","01/01/2015","12/31/2016","0.2245","","No",""
"EAST TEXAS MEDICAL CENTER JACKSONVILLE","450194","TX","2018","-0.9926","","07/01/2014","09/30/2015","-0.9926","","-0.5997","","Not Available","5","-0.0436","","Not Available","5","Not Available","5","-1.1557","","01/01/2015","12/31/2016","-0.6586","","No",""
"PARIS REGIONAL MEDICAL CENTER","450196","TX","2018","-0.7860","","07/01/2014","09/30/2015","-0.7860","","0.8360","","1.1731","","0.4241","","1.5366","","0.8841","","0.1621","","01/01/2015","12/31/2016","0.5927","","Yes",""
"WADLEY REGIONAL MEDICAL CENTER","450200","TX","2018","-0.4821","","07/01/2014","09/30/2015","-0.4821","","0.3550","","1.5858","","1.6018","","-0.7832","","0.2171","","-0.8467","","01/01/2015","12/31/2016","0.2294","","No",""
"WEATHERFORD REGIONAL MEDICAL CENTER","450203","TX","2018","-1.0691","","07/01/2014","09/30/2015","-1.0691","","-1.0465","","-1.0713","","-1.5254","","0.0029","","-1.4551","","-1.1838","","01/01/2015","12/31/2016","-1.0499","","No",""
"NORTHWEST TEXAS HOSPITAL","450209","TX","2018","0.6174","","07/01/2014","09/30/2015","0.6174","","0.5359","","1.1376","","-0.0186","","-0.6522","","1.5806","","0.6321","","01/01/2015","12/31/2016","0.5481","","Yes",""
"EAST TEXAS MEDICAL CENTER - CARTHAGE","450210","TX","2018","-0.0233","","07/01/2014","09/30/2015","-0.0233","","-1.9602","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-1.9602","","01/01/2015","12/31/2016","-1.6697","","No",""
"MEMORIAL MEDICAL CENTER OF EAST TEXAS","450211","TX","2018","-0.8218","","07/01/2014","09/30/2015","-0.8218","","-0.1779","","-1.1694","","-0.7068","","0.4256","","0.0186","","0.5427","","01/01/2015","12/31/2016","-0.2744","","No",""
"UNIVERSITY HEALTH SYSTEM","450213","TX","2018","2.3268","","07/01/2014","09/30/2015","2.3268","","0.7869","","-0.1647","","0.4492","","2.0030","","0.6189","","1.0279","","01/01/2015","12/31/2016","1.0178","","Yes",""
"BAYLOR SCOTT & WHITE MEDICAL CENTER - LLANO","450219","TX","2018","-0.1525","","07/01/2014","09/30/2015","-0.1525","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.1525","","No",""
"CONROE REGIONAL MEDICAL CENTER","450222","TX","2018","-0.0339","","07/01/2014","09/30/2015","-0.0339","","0.2278","","1.3540","","-0.5348","","-0.7727","","1.1090","","-0.0167","","01/01/2015","12/31/2016","0.1885","","No",""
"HENDRICK MEDICAL CENTER","450229","TX","2018","-0.7428","","07/01/2014","09/30/2015","-0.7428","","-0.6774","","-0.6349","","-0.6935","","-0.8793","","-0.2560","","-0.9233","","01/01/2015","12/31/2016","-0.6872","","No",""
"BSA HEALTH SYSTEM","450231","TX","2018","0.4564","","07/01/2014","09/30/2015","0.4564","","0.1842","","0.7418","","-0.6985","","1.7131","","-1.0130","","0.1774","","01/01/2015","12/31/2016","0.2250","","No",""
"MEMORIAL HOSPITAL","450235","TX","2018","-0.2123","","07/01/2014","09/30/2015","-0.2123","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.2123","","No",""
"CHRISTUS MOTHER FRANCES HOSPITAL - SULPHUR SPRINGS","450236","TX","2018","-0.0743","","07/01/2014","09/30/2015","-0.0743","","-0.5319","","-0.1952","","-0.5314","","-0.1561","","Not Available","5","-1.2451","","01/01/2015","12/31/2016","-0.4633","","No",""
"CHRISTUS SANTA ROSA HOSPITAL","450237","TX","2018","0.9388","","07/01/2014","09/30/2015","0.9388","","0.4478","","0.6860","","0.3373","","0.5706","","0.1814","","0.4635","","01/01/2015","12/31/2016","0.5214","","Yes",""
"FAITH COMMUNITY HOSPITAL","450241","TX","2018","0.9916","","07/01/2014","09/30/2015","0.9916","","2.1946","5","2.1946","18","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","2.0142","","Yes",""
"HAMLIN MEMORIAL HOSPITAL","450243","TX","2018","-0.0052","","07/01/2014","09/30/2015","-0.0052","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0052","","No",""
"ST JOSEPH HEALTH - BELLVILLE HOSPITAL","450253","TX","2018","0.0005","","07/01/2014","09/30/2015","0.0005","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","0.0005","","No",""
"WISE REGIONAL HEALTH SYSTEM","450271","TX","2018","0.9210","","07/01/2014","09/30/2015","0.9210","","0.7665","","0.1076","","-0.8739","","0.4152","","2.2236","","1.9601","","01/01/2015","12/31/2016","0.7897","","Yes",""
"CENTRAL TEXAS MEDICAL CENTER","450272","TX","2018","0.8997","","07/01/2014","09/30/2015","0.8997","","-0.3424","","-0.7330","","-0.9457","","-0.6993","","0.9865","","-0.3206","","01/01/2015","12/31/2016","-0.1561","","No",""
"BAYLOR SCOTT & WHITE MEDICAL CENTER GARLAND","450280","TX","2018","-1.7118","","07/01/2014","09/30/2015","-1.7118","","-0.3998","","-0.5774","","-0.8772","","-0.4722","","0.5041","","-0.5760","","01/01/2015","12/31/2016","-0.5966","","No",""
"HARRIS HEALTH SYSTEM","450289","TX","2018","2.1956","","07/01/2014","09/30/2015","2.1956","","0.1178","","0.1262","","-0.2842","","1.4004","","-0.3351","","-0.3180","","01/01/2015","12/31/2016","0.4295","","Yes",""
"TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN","450292","TX","2018","-0.3012","","07/01/2014","09/30/2015","-0.3012","","0.0679","","0.0416","","1.5885","","Not Available","5","Not Available","5","-1.4265","","01/01/2015","12/31/2016","0.0125","","No",""
"FRIO REGIONAL HOSPITAL","450293","TX","2018","-0.0027","","07/01/2014","09/30/2015","-0.0027","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0027","","No",""
"COLLEGE STATION MEDICAL CENTER","450299","TX","2018","-0.6041","","07/01/2014","09/30/2015","-0.6041","","0.0675","","0.3240","","0.4208","","-1.4872","","0.6189","","0.4609","","01/01/2015","12/31/2016","-0.0332","","No",""
"STAMFORD MEMORIAL HOSPITAL","450306","TX","2018","-0.0082","","07/01/2014","09/30/2015","-0.0082","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0082","","No",""
"TEXOMA MEDICAL CENTER","450324","TX","2018","1.2311","","07/01/2014","09/30/2015","1.2311","","0.3101","","0.8737","","-0.4729","","-1.1832","","1.3867","","0.9462","","01/01/2015","12/31/2016","0.4482","","Yes",""
"OAKBEND MEDICAL CENTER","450330","TX","2018","0.2228","","07/01/2014","09/30/2015","0.2228","","-0.0546","","-0.6298","","-0.6567","","-1.4872","","2.2236","","0.2771","","01/01/2015","12/31/2016","-0.0130","","No",""
"SAN ANGELO COMMUNITY MEDICAL CENTER","450340","TX","2018","-1.1413","","07/01/2014","09/30/2015","-1.1413","","-0.7039","","-1.5110","","0.4325","","-0.9666","","-1.4551","","-0.0192","","01/01/2015","12/31/2016","-0.7695","","No",""
"BAPTIST BEAUMONT HOSPITAL","450346","TX","2018","0.4343","","07/01/2014","09/30/2015","0.4343","","-0.0975","","-0.3136","","-0.5314","","2.1044","","-0.4608","","-1.2860","","01/01/2015","12/31/2016","-0.0177","","No",""
"HUNTSVILLE MEMORIAL HOSPITAL","450347","TX","2018","-0.7293","","07/01/2014","09/30/2015","-0.7293","","1.1177","","-0.4793","","2.1498","","1.0318","","2.2236","","0.6627","","01/01/2015","12/31/2016","0.8407","","Yes",""
"FALLS COMMUNITY HOSPITAL AND CLINIC","450348","TX","2018","-0.0155","","07/01/2014","09/30/2015","-0.0155","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0155","","No",""
"TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL","450351","TX","2018","-0.4630","","07/01/2014","09/30/2015","-0.4630","","-0.4203","","Not Available","5","-1.5254","","-0.0023","","Not Available","5","0.2668","","01/01/2015","12/31/2016","-0.4267","","No",""
"HUNT REGIONAL MEDICAL CENTER","450352","TX","2018","0.2802","","07/01/2014","09/30/2015","0.2802","","-0.8567","","-0.5960","","-1.5254","","-1.4872","","0.2481","","-0.9233","","01/01/2015","12/31/2016","-0.6862","","No",""
"HOUSTON  METHODIST HOSPITAL","450358","TX","2018","-0.6594","","07/01/2014","09/30/2015","-0.6594","","0.2988","","0.9414","","-0.0687","","0.9881","","-0.0311","","-0.3359","","01/01/2015","12/31/2016","0.1550","","No",""
"CHILDRESS REGIONAL MEDICAL CENTER","450369","TX","2018","-0.1532","","07/01/2014","09/30/2015","-0.1532","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.1532","","No",""
"COLUMBUS COMMUNITY HOSPITAL","450370","TX","2018","0.3351","","07/01/2014","09/30/2015","0.3351","","-0.3788","","Not Available","5","-1.5254","","0.0431","","Not Available","5","0.3460","","01/01/2015","12/31/2016","-0.2717","","No",""
"BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE","450372","TX","2018","-0.8137","","07/01/2014","09/30/2015","-0.8137","","0.4818","","1.2475","","-0.8304","","0.4344","","1.2905","","0.2668","","01/01/2015","12/31/2016","0.2874","","No",""
"DALLAS MEDICAL CENTER","450379","TX","2018","-1.7118","","07/01/2014","09/30/2015","-1.7118","","-0.2013","","-0.9309","","-1.0910","","-0.3220","","Not Available","5","1.5387","","01/01/2015","12/31/2016","-0.4279","","No",""
"METHODIST HOSPITAL","450388","TX","2018","-0.9470","","07/01/2014","09/30/2015","-0.9470","","0.0892","","-0.5301","","0.6446","","0.1357","","-0.2932","","0.4890","","01/01/2015","12/31/2016","-0.0662","","No",""
"EAST TEXAS MEDICAL CENTER ATHENS","450389","TX","2018","-0.3835","","07/01/2014","09/30/2015","-0.3835","","-0.9869","","-1.5110","","-0.3309","","-1.4872","","-0.4545","","-1.1506","","01/01/2015","12/31/2016","-0.8964","","No",""
"MEMORIAL MEDICAL CENTER LIVINGSTON","450395","TX","2018","0.0010","","07/01/2014","09/30/2015","0.0010","","-0.6762","","Not Available","5","-0.0887","","0.0204","","Not Available","5","-1.9602","","01/01/2015","12/31/2016","-0.5746","","No",""
"BROWNFIELD REGIONAL MEDICAL CENTER","450399","TX","2018","-0.0156","","07/01/2014","09/30/2015","-0.0156","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0156","","No",""
"PARKVIEW REGIONAL HOSPITAL","450400","TX","2018","-0.1582","","07/01/2014","09/30/2015","-0.1582","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.1582","","No",""
"MEDICAL CENTER OF MCKINNEY","450403","TX","2018","-0.1797","","07/01/2014","09/30/2015","-0.1797","","-0.1911","","-0.7685","","-0.1288","","0.3435","","-1.4551","","1.0535","","01/01/2015","12/31/2016","-0.1894","","No",""
"EASTLAND MEMORIAL HOSPITAL","450411","TX","2018","-0.1357","","07/01/2014","09/30/2015","-0.1357","","Not Available","4","Not Available","4","Not Available","4","Not Available","5","Not Available","5","0.0370","","01/01/2015","12/31/2016","Not Available","4","No",""
"TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE","450419","TX","2018","-0.1622","","07/01/2014","09/30/2015","-0.1622","","-0.8314","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-0.8314","","01/01/2015","12/31/2016","-0.7310","","No",""
"BAYLOR MEDICAL CENTER AT UPTOWN","450422","TX","2018","-1.0670","","07/01/2014","09/30/2015","-1.0670","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-1.0670","","No",""
"HOUSTON METHODIST SAN JACINTO HOSPITAL","450424","TX","2018","0.3830","","07/01/2014","09/30/2015","0.3830","","-0.3903","","-0.8785","","-0.9975","","0.4553","","0.1985","","-0.7292","","01/01/2015","12/31/2016","-0.2743","","No",""
"ST DAVID'S MEDICAL CENTER","450431","TX","2018","-1.1910","","07/01/2014","09/30/2015","-1.1910","","0.0827","","-0.2408","","-0.1288","","1.0038","","-0.3010","","0.0804","","01/01/2015","12/31/2016","-0.1083","","No",""
"NAVARRO REGIONAL HOSPITAL","450447","TX","2018","-0.5353","","07/01/2014","09/30/2015","-0.5353","","0.0487","","-1.5110","","1.9426","","-0.0285","","Not Available","5","-0.2082","","01/01/2015","12/31/2016","-0.0389","","No",""
"GLEN ROSE MEDICAL CENTER","450451","TX","2018","-0.0762","","07/01/2014","09/30/2015","-0.0762","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0762","","No",""
"TYLER COUNTY HOSPITAL","450460","TX","2018","-0.0289","","07/01/2014","09/30/2015","-0.0289","","-0.3410","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-0.3410","","01/01/2015","12/31/2016","-0.2942","","No",""
"TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS","450462","TX","2018","-0.6294","","07/01/2014","09/30/2015","-0.6294","","0.1907","","-0.3271","","0.1067","","0.2946","","-0.2327","","1.1122","","01/01/2015","12/31/2016","0.0677","","No",""
"MATAGORDA REGIONAL MEDICAL CENTER","450465","TX","2018","-0.9558","","07/01/2014","09/30/2015","-0.9558","","-0.7021","","Not Available","5","-1.5254","","Not Available","5","Not Available","5","0.1213","","01/01/2015","12/31/2016","-0.7401","","No",""
"WILSON N JONES REGIONAL MEDICAL CENTER","450469","TX","2018","2.3268","","07/01/2014","09/30/2015","2.3268","","0.0412","","-0.7330","","0.0900","","-1.0592","","2.0041","","-0.0958","","01/01/2015","12/31/2016","0.3840","","Yes",""
"ETMC HENDERSON","450475","TX","2018","0.1295","","07/01/2014","09/30/2015","0.1295","","0.0702","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","0.0702","","01/01/2015","12/31/2016","0.0791","","No",""
"WOODLAND HEIGHTS MEDICAL CENTER","450484","TX","2018","-0.0929","","07/01/2014","09/30/2015","-0.0929","","0.0216","","-0.2087","","-0.3243","","0.4274","","0.7895","","-0.5760","","01/01/2015","12/31/2016","0.0044","","No",""
"ALLEGIANCE SPECIALTY HOSPITAL OF KILGORE","450488","TX","2018","0.0083","","07/01/2014","09/30/2015","0.0083","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","0.0083","","No",""
"MEDICAL ARTS HOSPITAL","450489","TX","2018","-0.0920","","07/01/2014","09/30/2015","-0.0920","","-1.9602","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-1.9602","","01/01/2015","12/31/2016","-1.6800","","No",""
"STEPHENS MEMORIAL HOSPITAL","450498","TX","2018","0.9615","","07/01/2014","09/30/2015","0.9615","","2.1722","5","2.1946","18","2.1498","18","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","1.9906","","Yes",""
"MEMORIAL HOSPITAL","450508","TX","2018","-0.0851","","07/01/2014","09/30/2015","-0.0851","","0.0656","","-0.4252","","0.3373","","-1.4872","","2.2236","","-0.3206","","01/01/2015","12/31/2016","0.0430","","No",""
"THE MEDICAL CENTER OF SOUTHEAST TEXAS","450518","TX","2018","-1.4571","","07/01/2014","09/30/2015","-1.4571","","0.3488","","2.1946","","0.1284","","0.4187","","-0.5011","","-0.4968","","01/01/2015","12/31/2016","0.0779","","No",""
"METHODIST RICHARDSON MEDICAL CENTER","450537","TX","2018","1.9326","","07/01/2014","09/30/2015","1.9326","","-0.5750","","-0.4353","","-0.5715","","-0.0757","","-1.1681","","-0.6245","","01/01/2015","12/31/2016","-0.1989","","No",""
"COVENANT HOSPITAL PLAINVIEW","450539","TX","2018","-1.2074","","07/01/2014","09/30/2015","-1.2074","","-1.6269","","Not Available","5","-1.5254","","-1.4872","","Not Available","5","-1.8683","","01/01/2015","12/31/2016","-1.5640","","No",""
"ABILENE REGIONAL MEDICAL CENTER","450558","TX","2018","0.2119","","07/01/2014","09/30/2015","0.2119","","-0.5721","","-0.6197","","-0.7185","","-0.8758","","0.4327","","-1.0791","","01/01/2015","12/31/2016","-0.4545","","No",""
"BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE","450563","TX","2018","2.3268","","07/01/2014","09/30/2015","2.3268","","0.1059","","0.6674","","-0.6149","","0.5706","","0.4389","","-0.5326","","01/01/2015","12/31/2016","0.4390","","Yes",""
"PALO PINTO GENERAL HOSPITAL","450565","TX","2018","-0.1308","","07/01/2014","09/30/2015","-0.1308","","-0.9345","","Not Available","5","-1.5254","","Not Available","5","Not Available","5","-0.3436","","01/01/2015","12/31/2016","-0.8139","","No",""
"SHANNON MEDICAL CENTER","450571","TX","2018","-0.8712","","07/01/2014","09/30/2015","-0.8712","","0.1865","","0.5169","","0.0934","","0.6580","","0.2171","","-0.5530","","01/01/2015","12/31/2016","0.0278","","No",""
"CHRISTUS JASPER MEMORIAL HOSPITAL","450573","TX","2018","-0.0758","","07/01/2014","09/30/2015","-0.0758","","-1.6483","","Not Available","5","-1.5254","","Not Available","5","Not Available","5","-1.7712","","01/01/2015","12/31/2016","-1.4124","","No",""
